Name,Usage authorization,Points,Description,Flavor,Category
Guillaume Gomez,,1,Gain 1pt for each visible attendee.,Thanks for organizing <3,Organizer
Matthieu O.,Friend,👸,Everybody wins now.,Too kind to score points,Friend
Thomas W.,Friend,2,Player who has the most crypto currencies plays an additional turn now.,Get that crypto!,Friend
Alejandra P.,,2,"You show an image (on any medium)  to other players, if most other players like it: draw 2 card, otherwise other players discard a card from their hand.",💃 📷,Friend
Nitwit,Friend,4,"Lose 1pt each time you play a new member, This can't go below 0.",Outside,Friend
Tim Clicks,yes,2,Gain 1pt for every player who was on this city or event last year.,Building a better planet,Member
Richard,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Louis,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Antoine,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Francois,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Stéphane,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Pierre,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Benjamin,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Paul,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Alexis,it's not strictly nominated,1,Play an additional card now.,Member of a community,Attendee
Maxime,it's not strictly nominated,1,Play an additional card now.,Member of a community,Attendee
Eric,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Cédric,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Brice,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Christophe,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Serge,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Simon,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Jérome,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Raphael,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Félix,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Khalid,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Serge,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Mario,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Coline,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Valentine,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Luca,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Bela,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
adjivas,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Ayoub,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Cisco,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
Tom,it's not strictly nominated,1,Play an additional card now, or draw a card.,Member of a community,Attendee
